input,output,meaning,num_cognates,cognate_set_id
[French] chien [Norman] tchian,*ḱwn-i-,,2,0
[Cornish] pies [English] pie [English] pie [English] magpie [Latin] picus [English] pique [English] pica [Latin] pica [Galician] peto [German] Specht [Dutch] specht [Galician] pega [Portuguese] pega [English] speight [Translingual] Picumnus [Latin] Picumnus [Latin] Iguvium,*(s)peyk-,,17,1
[English] pound [Irish] punt,*pend-,,2,2
[Old Spanish] pie [Spanish] pie [Norman] pi [English] foot [Scots] fit [Zazaki] pa [Romansch] pe [Tocharian A] pe [French] pied [Old Portuguese] pee [Tajik] по [Middle English] fot [Norwegian Bokmål] fot [Norwegian Nynorsk] fot [Old Saxon] fot [Swedish] fot [Catalan] peu [Latin] pes [Baluchi] پاد [Italian] piede [Central Franconian] Fuß [German] Fuß [English] teapoy [Faroese] fótur [Icelandic] fótur [Afrikaans] voet [Dutch] voet [Middle Dutch] voet [Persian] پا [Southern Kurdish] پا [Romansch] pei [Ancient Greek] πούς [Old Norse] fótr [Pashto] پل [Latgalian] pods [Portuguese] pé [Tocharian B] paiyye [Hittite] 𒄊𒀸 [Danish] fod [Gothic] 𐍆𐍉𐍄𐌿𐍃 [Sanskrit] पद् [Romansch] pè [Polish] pieszo [Persian] پای [Romanian] piez [West Frisian] foet [Ancient Greek] πεζός [Northern Kurdish] pî [Umbrian] 𐌐𐌄𐌛𐌉 [Old Dutch] fuot [Russian] пеший [Urdu] پاؤں [Norman] pid [Yiddish] פֿוס [Marathi] पाय [Hindi] पाँव [Albanian] putër [Albanian] poshtë [Ligurian] pê [Parthian] 𐫛𐫀𐫅 [Latvian] pēda [Central Franconian] Foß [Lithuanian] pėda [Polish] spód [Latgalian] pāds [Pali] pāda [Low German] Faut [Celtiberian] ozas [Ancient Greek] πέδη [Ancient Greek] ποδήρης [Ukrainian] піший [Jamtish] fót [Avestan] 𐬞𐬁𐬜𐬀,*pṓds,,73,3
[English] free [Latin] proprius [English] frith [Sanskrit] प्रिय [Indonesian] pria [Welsh] rhydd [Scots] fre [Yiddish] פֿרײַ [Gothic] 𐍆𐍂𐌴𐌹𐍃 [Indonesian] priayi,*priHós,,10,4
[English] free [Dutch] vrij [English] friend [English] fray [German] Freund [Old English] friþ [Old English] freogan [Faroese] fríur [Czech] přítel [Persian] نفرین [West Frisian] frij [Yola] vriene [Vilamovian] fraj [Old Armenian] օրհնեմ [Indonesian] perai,*preyH-,,15,5
[Low German] free [Old Prussian] prei,*prey,,2,6
[English] raven [Old Spanish] cuerpo [Spanish] cuerpo [Catalan] cos [Italian] corpo [Portuguese] corpo,*ḱrep-,,6,7
[English] raven [Lower Sorbian] krowa [Polish] krowa [French] cor [Danish] horn [Faroese] horn [Icelandic] horn [Norwegian Bokmål] horn [Norwegian Nynorsk] horn [Old English] horn [Old High German] horn [Old Norse] horn [Old Saxon] horn [English] crescent [Serbo-Croatian] krava [Slovak] krava [Slovene] krava [English] cereal [Ancient Greek] κόρος [Ancient Greek] κόρος [Italian] crescere [Latin] creo [English] Herne [German] Horn [English] Ceres [Cebuano] Ceres [Spanish] crecer [French] croître [Old Irish] cerc [German] Hirse [Old High German] hirso [Portuguese] rena [Czech] kráva [Old Czech] kráva [Dutch] hoorn [Latin] cresco [Catalan] créixer [Belarusian] карова [Gothic] 𐌷𐌰𐌿𐍂𐌽 [Latin] creber [Afrikaans] horing [Portuguese] cério [Romanian] crește [Portuguese] crescer [Mycenaean Greek] 𐀒𐀺 [Old English] horu [Yiddish] הירזש [Sanskrit] शृङ्खल [Konkani] साकळी [Kalasha] ṣiŋ [Ancient Greek] καῖρος [Old Frisian] hrither [Ancient Greek] κέλωρ [Indonesian] sereal,*ḱer-,,54,8
[English] word [Middle English] word [Latin] verbum [French] verve [Danish] ord [Middle English] verbe [Scots] wird [Afrikaans] woord [Dutch] woord [Norwegian Bokmål] verbo [North Frisian] wurd [Galician] verba [Indonesian] verba [Yiddish] וואָרט [Gothic] 𐍅𐌰𐌿𐍂𐌳 [Limburgish] waord [Latvian] vārds [Umbrian] 𐌖𐌄𐌓𐌚𐌀𐌋𐌄 [Central Franconian] Woot [Norwegian Bokmål] a verbo,*werdʰh₁om,,20,9
[Old English] word [Volapük] lol [English] rose [Latin] rosa [Arabic] ورد,*wr̥dʰos,,5,10
[English] crow [Old English] crawan,*gerH-,,2,11
[English] February [English] dye [English] down [English] dust [English] dew [Swedish] dy [English] steam [English] duvet [French] duvet [Swedish] tun [English] dun [Old English] dun [English] dusk [Scots] Februar [German] Tau [Portuguese] feder [Irish] dé [Old Irish] dé [Spanish] heder [Latin] fimum [English] Davenport [Latin] favilla [Icelandic] dögg [Faroese] tún [Icelandic] tún [Old Norse] tún [Ancient Greek] θεῖον [Faroese] døgg [Scottish Gaelic] dùil [English] furibund [Russian] тимьян [Ancient Greek] Τυφῶν [Swedish] dagg [English] dweomer [Old English] -tun [Latin] fuscus [Latin] suffio [Ancient Greek] θύω [Middle English] toun [Latin] furo [Dutch] dauw [Latin] feteo [Old English] deaw [Old English] dox [Old English] dwimor [Ancient Greek] θύμος [Albanian] duf [Icelandic] dý [Albanian] ndyj [Irish] dúil [Hindi] धूसर [Norwegian Bokmål] dugg [Urdu] دھوسر [Old Norse] dyja [Old Norse] dǫgg [Ancient Greek] θύος [Ancient Greek] τύφω [Lithuanian] dujos,*dʰewh₂-,,58,12
[English] February [Italian] febbre [Scots] Februar [Catalan] febre [French] fièvre [Latin] febris [Romanian] fior [Spanish] fiebre,*dʰegʷʰris,,8,13
[English] January [Portuguese] ir [Romansch] ir [Spanish] ir [Sanskrit] इ [Czech] jet [Swedish] ed [English] yode [Swedish] id [Spanish] enero [English] ambit [English] errant [English] arrant [Scots] Januar [English] eid [Norwegian Bokmål] eid [Norwegian Nynorsk] eid [Albanian] iki [French] Ain [Persian] آمدن [Tocharian A] i- [Tocharian B] i- [English] introit [Romansch] eir [Sicilian] jiri [Albanian] eja [Neapolitan] jí [German] eilen [Portuguese] janela [Albanian] jakë [Serbo-Croatian] ići [Luwian] 𒄿𒋾 [Polish] iść [Albanian] erë [Mycenaean Greek] 𐀂𐀍𐀳 [Hittite] 𒄿𒅀𒀜𒋫 [Old English] eode [Phrygian] ειτου [Italian] gire [Persian] جن [Persian] آی [Serbo-Croatian] ићи [Portuguese] íon [Slovak] ísť [Indonesian] jendela [Gothic] 𐌹𐌳𐌳𐌾𐌰 [Indonesian] Januari [Belarusian] ісці [Old Portuguese] janella [English] itive [Latin] ianiculum [Avestan] 𐬀𐬉𐬙𐬍 [Tocharian B] mäs- [Ancient Greek] ἰταμός,*h₁ey-,,54,14
[English] march [English] march [Icelandic] mars [Indonesian] mars [Catalan] marge [French] marge [Old French] marche [Galician] marco [Portuguese] marco [Galician] marcar [Galician] marca [Romanian] margine [Persian] مرز [Spanish] marqués [Polish] marchia [Galician] comarca [Galician] marxa [Dutch] marginaal [Latin] margo [Galician] demarcar [Portuguese] marquês [Latin] Morgantia [Galician] marxe [Ancient Greek] Μοργαντίνη [Irish] meirg [Scottish Gaelic] meirg [Walloon] måtche,*merǵ-,,27,15
[English] march [French] mare [Italian] mare [Latin] mare [Romanian] mare [Afrikaans] meer [Dutch] meer [French] mer [Middle French] mer [Old French] mer [Romansch] mer [Walloon] mer [Finnish] meri [Ingrian] meri [Serbo-Croatian] more [Slovak] more [English] marine [English] moor [Catalan] mar [Old Portuguese] mar [Portuguese] mar [Romansch] mar [Spanish] mar [Venetian] mar [English] cormorant [English] mere [Breton] mor [Cornish] mor [Cebuano] marins [Norman] mé [Russian] морской [Bulgarian] море [Russian] море [Serbo-Croatian] море [Ukrainian] море [Russian] моряк [Ukrainian] моряк [Aromanian] amari [Cebuano] marino [Spanish] marino [Irish] muir [Scottish Gaelic] muir [Dalmatian] mur [Spanish] marinar [Polish] morze [Czech] moře [Old Czech] moře [English] Muriel [French] Muriel [English] Morava [Old Church Slavonic] морѥ [Romagnol] mêr [Belarusian] мора [Lower Sorbian] mórjo [Slovene] morje [Old Norse] marr [Manx] mooir [Welsh] môr [Upper Sorbian] morjo [Kashubian] mòrzé [Istro-Romanian] måre [Lithuanian] marios [Ligurian] mâ [Latin] Marica [Gothic] 𐌼𐌰𐍂𐌴𐌹 [Sanskrit] मर्यादा [Sanskrit] मीर [Latin] Marus,*móri,,68,16
[English] month [English] moon [Polish] miesiąc [Norwegian Bokmål] mm [Middle Dutch] mane [Slovak] mesiac [Old English] mona [Old Frisian] mona [Catalan] mes [Spanish] mes [Italian] mese [Czech] měsíc [Norwegian Nynorsk] månad [Swedish] månad [Northern Kurdish] meh [Welsh] mis [Central Franconian] Mond [Luxembourgish] Mount [English] Moon [Icelandic] mánuður [Danish] måned [Norwegian Bokmål] måned [Danish] måne [Norwegian Bokmål] måne [Norwegian Nynorsk] måne [Swedish] måne [Latin] mensis [French] mois [Irish] mí [Old Irish] mí [Afrikaans] maand [Dutch] maand [Afrikaans] maan [Dutch] maan [Belarusian] месяц [Russian] месяц [Serbo-Croatian] mesec [Slovene] mesec [Serbo-Croatian] мјесец [Serbo-Croatian] mjesec [Bulgarian] месец [Macedonian] месец [Serbo-Croatian] месец [Portuguese] mês [Faroese] máni [Icelandic] máni [Old Norse] máni [Old Armenian] ամիս [Bengali] মাস [Lithuanian] mėnuo [Manx] mee [Scottish Gaelic] mìos [Ancient Greek] μήν [Faroese] mánaður [Persian] ماه [Macedonian] месечина [Ancient Greek] Μήνη [Scots] muin [Old Church Slavonic] мѣсѧць [Old East Slavic] мѣсѧць [Tocharian A] mañ [Tocharian B] meñe [Lower Sorbian] mjasec [Upper Sorbian] měsac [Ukrainian] місяць [Kashubian] miesądz [Greek] μήνας [Sanskrit] मास [English] manilla [Northern Sami] mánnu [West Frisian] moanne [West Frisian] moanne [Norman] meis [Walloon] moes [Latvian] mēnesis [Luxembourgish] Mound [Latvian] mēness [Middle Persian] 𐭡𐭩𐭥𐭧 [Gothic] 𐌼𐌴𐌽𐌰 [Limburgish] maon [Hindi] माह [Avestan] 𐬨𐬁𐬵 [Ancient Greek] μείς [Norwegian Bokmål] amenoré [Norwegian Bokmål] amenore [Ligurian] méize [Sanskrit] मास् [Mòcheno] mu' [Norn] måni [Ukrainian] Місяць [Belarusian] Месяц [Norwegian Bokmål] ddmmåå [Norwegian Bokmål] ddmmåååå [Norwegian Bokmål] dd/mm/åå [Norwegian Bokmål] DDMMÅÅÅÅ [Norwegian Bokmål] DD/MM/ÅÅ [Norwegian Bokmål] DD/MM/ÅÅÅÅ [Norwegian Bokmål] dd/mm/åååå [Norwegian Bokmål] DDMMÅÅ [Old Frisian] monath,*mḗh₁n̥s,,100,17
