input,output,meaning,num_cognates,cognate_set_id
[Sranan Tongo] frei [Sranan Tongo] frei [Norwegian Bokmål] fly [Norwegian Nynorsk] fly [Icelandic] fljúga [Ido] plumo [Afrikaans] vlieg [English] plumicorn [Danish] flyve [Norwegian Nynorsk] flyga [Swedish] flyga [Faroese] flúgva [Norwegian Bokmål] flyge [Dutch] pluimage [Faroese] flogskip [Faroese] flogfelag [Luxembourgish] flitzen [Tok Pisin] flai [Tok Pisin] flai [Old Swedish] flygha [Scanian] flyğa [Phalura] fláiṭ [Norwegian Nynorsk] fljuga,*plewk-,,23,0
[French] chien [Middle French] chien [Old French] chien [Aragonese] can [Asturian] can [Galician] can [Galician] can [Istriot] can [Occitan] can [Old Portuguese] can [Spanish] can [Venetian] can [Ukrainian] собака [Corsican] cane [Aragonese] chin [Romansch] chan [Catalan] ca [English] kennel [Finnish] kennel [English] canophilia [Middle Irish] cana [Translingual] Canis lupus [Manx] coo [Manx] coo [Norman] quien [Translingual] Canis [Ladin] cian [Portuguese] cão [Portuguese] cão [Romanian] câine [Scottish Gaelic] cù [Scottish Gaelic] cù [Ligurian] cagna [Javanese] sona [Irish] cú [Middle Irish] cú [Middle Irish] cú [Old Irish] cú [Romansch] chaun [Dalmatian] cun [Sicilian] cani [Translingual] Canis rufus [Translingual] Canis aureus [Translingual] Canis dirus [Translingual] Canis adustus [Translingual] Canis mesomelas [Megleno-Romanian] cǫini [Aromanian] cãne [Translingual] cyno- [English] cyno- [Translingual] Cynognathus [Friulian] cjan [English] cynodont [English] cynomolgus [Romansch] cogna [English] canicide [Sicilian] canigghia [Romansch] tgaun [French] chenil [Translingual] Canis domesticus [Romansch] tgang [Romansch] tganga [Romansch] chagna [Romansch] tgàn [Romansch] tgogna [Romansch] chogna [French] cagnotte [Norman] tchian [Walloon] tchén [Friulian] čhan [Translingual] Cuon [Istro-Romanian] căre [Aromanian] cãni [Hindi] साही [Kalasha] šọ̃́a [Konkani] सुणो [Pali] suvāna [Franc-Comtois] tchïn [Tsakonian] κούε [Bourguignon] chein [Polish] kanalia [Galician] acañar [Spanish] canódromo [Balinese] ᬰ᭄ᬯ [Romanian] câne [Khowar] شُو [Kalasha] šu [Aromanian] cheni,*ḱwṓ,,88,1
[Asturian] pie [Spanish] pie [Dalmatian] pi [English] foot [Azerbaijani] pay [Tok Pisin] put [English] pawn [Guinea-Bissau Creole] pe [Romansch] pe [French] pied [Norwegian Bokmål] fot [Norwegian Nynorsk] fot [Swedish] fot [Catalan] peu [French] pion [Indonesian] pion [Tok Pisin] fut [German Low German] Foot [Plautdietsch] Foot [Old French] poon [English] futtock [Faroese] fótur [Icelandic] fótur [Afrikaans] voet [Afrikaans] voet [Afrikaans] voet [Dutch] voet [Dutch] voet [Middle Dutch] voet [Papiamentu] pia [Romansch] pei [Sardinian] pei [Hindi] बात [Aragonese] piet [Asturian] peón [Galician] peón [Spanish] peón [Haitian Creole] pye [Sardinian] pede [Italian] pedone [Sranan Tongo] futu [Galician] pé [Galician] pé [Kabuverdianu] pé [Portuguese] pé [Danish] fod [Lombard] pè [Romagnol] pè [Sicilian] pedi [Walloon] pî [Romanian] piedin [Italian] penero [English] suppedaneous [English] podetium [English] pedetentous [Rajasthani] पाय [Spanish] -podo [Aromanian] pezã [Translingual] Podocarpus [Esperanto] futo [Istriot] peîe [Friulian] pît [Latin] leucopus [Translingual] -pus [Aromanian] cheadin [Italian] peziolo [Greek] πεζο- [Old Swedish] foter [Mauritian Creole] lipye [Seychellois Creole] lipye [Haitian Creole] pla(n) pye [Kazakh] педометр [Domari] pɔw [Italian] podezio [Phalura] fuṭ [Urdu] پا خانہ [Yola] voote [Jamtish] fót [Galician] apedar [English] Pinware,*pṓds,,80,2
[Norman] pie [English] pied [Translingual] Pica [Basque] pika [Norwegian Bokmål] pai [Norwegian Bokmål] pai [Norwegian Nynorsk] pai [Norwegian Nynorsk] pai [Tok Pisin] pai [Tok Pisin] pai [Catalan] picot [Portuguese] pego [Dutch] pieken [Esperanto] pigo [Ido] pigo [Kriol] megpai,*(s)peyk-,,16,3
[English] raven [Afrikaans] raaf [English] Ravenscar [Icelandic] hrafn [Faroese] ravnur [Danish] ravn [Norwegian Bokmål] ravn [Norwegian Bokmål] ravn [Louisiana Creole French] crever [Norwegian Nynorsk] ramn [Old Swedish] ramn [Alemannic German] Rapp [Friulian] crepâ [Scanian] rawn [Venetian] crecoła [English] Renwick [English] Raabe [Translingual] Querquedula [Breton] Kornéli [Maltese] sarsella [Polish] krewa,*ḱorh₂-,,21,4
[English] word [Chinese Pidgin English] word [English] verb [English] verb [Breton] verb [Catalan] verb [Norwegian Bokmål] verb [Norwegian Nynorsk] verb [Romanian] verb [Czech] verbum [Danish] verbum [Middle English] verbe [Old French] verbe [Finnish] verbi [Ingrian] verbi [Tok Pisin] wod [Afrikaans] woord [Esperanto] verbo [Galician] verbo [Ido] verbo [Italian] verbo [Portuguese] verbo [Spanish] verbo [Romanian] vorbă [Livonian] värb [Galician] verba [Occitan] vèrb [Yiddish] ווערב [Welsh] berf [German] Verbosität [Ladino] byervo [English] triverbial [Norman] vèrbe [Basque] berba [Bourguignon] varbe [North Frisian] Uurt [Polish] werwa [English] transverbate [Sardinian] berbu,*werdʰh₁om,,39,5
[English] word [Middle English] word [Volapük] lol [English] rose [Danish] rose [Friulian] rose [Middle English] rose [Norman] rose [Norwegian Bokmål] rose [Norwegian Nynorsk] rose [Old English] rose [Norwegian Nynorsk] ros [Swedish] ros [Zoogocho Zapotec] ros [Aragonese] rosa [Asturian] rosa [Catalan] rosa [Cebuano] rosa [Classical Nahuatl] rosa [Galician] rosa [Gallurese] rosa [German] rosa [Italian] rosa [Luxembourgish] rosa [Norwegian Bokmål] rosa [Norwegian Nynorsk] rosa [Norwegian Nynorsk] rosa [Old Portuguese] rosa [Portuguese] rosa [Romansch] rosa [Sardinian] rosa [Sassarese] rosa [Spanish] rosa [Translingual] Rosa [German] Rose [Scots] wird [English] roseola [Latvian] roze [Icelandic] rós [Greek] ροζ [Afrikaans] roos [Dutch] roos [Estonian] roos [Westrobothnian] roos [Finnish] ruusu [Faroese] rósa [Persian] رز [Central Franconian] Rus [Serbo-Croatian] ruža [Slovak] ruža [Polish] róża [Serbo-Croatian] ружа [Basque] arrosa [Welsh] rhos [Yiddish] רויז [Estonian] roosa [Cimbrian] roas [Mòcheno] roas [Cebuano] rosas [Istriot] roza [Ladino] roza [Esperanto] rozo [Occitan] ròsa [Welsh] rhosyn [Ladino] רוזה [Luxembourgish] Rous [Hunsrik] Ros [Vilamovian] ruuz [Dalmatian] ruosa [Serbo-Croatian] roža [Slovene] roža [Persian] رزا [Serbo-Croatian] ружмарин [Alemannic German] Roos [Ligurian] rêuza [Marshallese] rooj [Romanian] rujă [Tamil] ரோஜா,*wr̥dʰos,,78,6
[English] word [Afrikaans] word [English] worth [Pennsylvania German] ware [German] werden [Middle High German] werden [Faroese] verða [Icelandic] verða [Norwegian Nynorsk] verte [Norwegian Nynorsk] verta [Icelandic] Versalir [English] cardiovert [Swedish] varda [Danish] vorde [Norwegian Bokmål] vorde [Yiddish] ווערן [Old Swedish] værþa [Central Franconian] wääde [Westrobothnian] wahl [Westrobothnian] wahl [Elfdalian] werda [Pennsylvania German] waerre [Alemannic German] wërde,*wértti,,23,7
[English] December [Papiamentu] dies [Papiamentu] dies [Bislama] ten [Tok Pisin] ten [Greek] δέκα [French] dix [Norman] dix [Extremaduran] dieci [Italian] dieci [Danish] ti [Norwegian Bokmål] ti [Norwegian Nynorsk] ti [Afrikaans] tien [Domari] das [Danish] deci- [Dutch] deci- [Hungarian] deci- [Haitian Creole] dis [Louisiana Creole French] dis [Mauritian Creole] dis [Old French] dis [Sicilian] deci [Louisiana Creole French] di [Italian] decimo [Hungarian] deka- [Polish] deka- [English] decimal [Portuguese] decimal [Spanish] decimal [Aragonese] diez [Asturian] diez [English] dime [Norwegian Bokmål] dime [Norwegian Nynorsk] dime [English] doyen [French] doyen [Old Swedish] tio [Swedish] tio [Guinea-Bissau Creole] des [Lombard] des [Piedmontese] des [Friulian] dean [Yiddish] צען [Italian] decimale [Rohingya] doc [Esperanto] dek [Esperanto] dek [Ido] dek [Elfdalian] tiu [Icelandic] tíu [Translingual] Streptopelia decaocto [Central Franconian] zehn [German] zehn [Translingual] Decapoda [Galician] dez [Portuguese] dez [Venetian] diese [Norwegian Bokmål] desember [Norwegian Nynorsk] desember [Romanian] zece [Dalmatian] dic [Louisiana Creole French] diz [Catalan] disset [Catalan] divuit [Catalan] dinou [Aragonese] deu [Catalan] deu [Bhojpuri] दस [Hindi] दस [Dalmatian] dicto [Classical Nahuatl] diezmo [Old Spanish] diezmo [Spanish] diezmo [Italian] decano [Portuguese] decano [Spanish] decano [Faroese] tíggju [English] decuple [Romansch] diesch [Kabuverdianu] dés [Lombard] dés [Translingual] D- [Cimbrian] zene [Greek] δεκανέας [Urdu] دس [French] décimal [Irish] deich [Scottish Gaelic] deich [French] dîme [English] disme [Old French] disme [Spanish] deceno [Catalan] dècima [Catalan] desè [Bengali] দশ [Manx] jeih [Sardinian] deche [Polish] dekalog [Faroese] desi- [Icelandic] desi- [Walloon] dijh [Khmer] ទស [Corsican] dece [Venetian] diéxe [Ladino] dyez [Luxembourgish] zéng [Istriot] gise [Occitan] dètz [Romansch] desch [Malay] dasa [Norman] dgix [Norman] dgiême [Norman] douoyen [Istriot] gize [Ladin] diesc [Friulian] dîs [Portuguese] dízimo [Oriya] ଦଶ [Alemannic German] zää [Cebuano] desimal [Indonesian] desimal [Aromanian] dzatsi [Old Spanish] dezeno [Spanish] deán [Italian] diece [Emilian] dēś [Friulian] diesim [Catalan] degà [Romanian] zecimal [Marathi] दहा [Konkani] धा [Assamese] দহ [Hindi] आरामदेह [Ligurian] dêxe [Kachchi] ડો [Sylheti] ꠖꠡ [Kashmiri] دٔہ [Papiamentu] diesdos [Papiamentu] diestres [Papiamentu] diesun [Polish] decy- [Cimbrian] sègane [Balinese] ᬤᬰ [Romani] deś [Sardinian] deghe [Catalan] delme [Mòcheno] zeichen [Kalasha] daš [Domari] dazz [Phalura] dáaš [Kashmiri] داہ [Gandhari] 𐨡𐨭 [Niya Prakrit] 𐨡𐨭 [Dhivehi] ދިހަ [Indonesian] dasa- [Indonesian] dasa- [English] zehnbein [Jersey Dutch] tîn [Aromanian] zatsi [Norman] dyis,*déḱm̥,,161,8
[English] February [German] down [Danish] dug [Tok Pisin] das [English] town [Catalan] fem [Latin] thus [Danish] tun [Norwegian Nynorsk] tun [Swedish] tun [English] thymus [Latin] thymus [English] dusk [English] Typhon [Irish] dé [Afrikaans] dou [English] thio- [Dutch] thio- [German] thio- [Spanish] heder [Greek] θείον [French] étuve [Tok Pisin] daun [Icelandic] dögg [Faroese] tún [Icelandic] tún [Faroese] døgg [Galician] fosco [Italian] fosco [Portuguese] fosco [Swedish] dagg [English] dweomer [Spanish] tomillo [Greek] θείο [Scots] toun [Manx] jaagh [Italian] fimo [Spanish] fimo [English] indifuscin [English] Townsend [Tok Pisin] Februeri [Catalan] fosc [Dalmatian] fosc [Occitan] fosc [Tok Pisin] daunbilo [Tok Pisin] daunim [English] dog [Maori] Pēpuere [Spanish] turíbulo [Spanish] hosco [Galician] feila [Faroese] Døgg [Scanian] dygg [Norwegian Bokmål] dogg [Norwegian Nynorsk] dogg [Ladin] fosch [Norwegian Bokmål] dugg [Middle English] dosk [Galician] freila [Galician] farila [Galician] ceila [Kazakh] тиофен [Irish] túis [English] dust box [Yola] teoune [Kazakh] тимин [Catalan] tomello,*dʰewh₂-,,67,9
