input,output,meaning,num_cognates,cognate_set_id
[pas] tor [sar] tor,*temH-,,2,9
[lit] šáltas [fas] sard [wak] sʉr [prg] salta [kur] sar [kho] sāḍa- [par] sard [lat] solts [kum] sard [yag] sōrt [bak] sard [sog] sart [maz] sard [del] særd [lar] sard [bal] sard [kur] sard [haw] sard [kur] sard [khw] sard [mid] sard [kur] sārd,*k̑elH-,,22,14
[pas] ratlal,*tekʷ-,,1,15
"[hyw] meṙnil [hye] meṙnel [ben] mārā yāoẏā [bul] umra [bel] pamercì [cat] morir [ces] umřít [fra] mourir [hin] maranā [ita] morire [kas] maron [lad] morì [lit] (nu)mir̃ti [sor] wumrěś [sor] wumrěć [mac] umre [mar] maraṇe [nep] marnu [fas] mordan [pol] umrzeć [por] morrer [rus] umeret' [sar] morrere [sar] mórrere [hbs] umrijeti [sin] mærenavā [slo] zomrieť [slo] umreti [spa] morir [ukr] umerti [wak] mirit [wal] mori [mai] maranā [san] mr̥- [chu] umrěti [lav] (no)mirt [lat] morī [urd] marnā [kur] dɨmɨrit [fri] murî [ave] miriiete [oss] mælyn [oss] mælun [xcl] meṙanim [old] amariyatā [mag] maranā [bho] maranā [pal] marati [mid] meruell, meruel [kho] mīḍe [pol] marĕ [kas] ùmrzec [mid] mīrēd [par] mīrēd [yag] mir- : mírak [lat] nūmiert, miert [ron] muri [nea] murì [old] morir [ang] morir [fra] mwi [old] morir [cym] marw [bre] merwel, marw- [bre] merwel, marw- [pal] máara [old] umrzeć [mid] marw [old] umřieti [old] mertvyi [rus] u̯mértɪ [mac] umìram [mac] umìram [slo] umreti [slo] vmréti [bac] mir [sog] mirti [bak] mordak [pun] marnā [old] morir [khw] amiyeda [old] morir [meg] muríri [ass] môri jûwā [gaw] mik [kho] brik [tat] mömöre [del] mimerge [lar] amere [kum] tumra [kur] amrıt [haw] mamro [bal] dārī merīd [pas] mrral [kur] mırē [raj] ạmire [gaw] märūg [maz] miyarne [dal] morár [sar] mewg [mid] merwel [lat] merwall [por] morrer [vâs] o-mo- [pas] muṛtu [kam] mř′e- [kât] mř′e- [kât] mř′e- [kal] mrẽ- [kur] a-mr-ē [mil] murì",*mer-,,111,18
"[hyw] šun [hye] šun [dan] hund [nld] hond [far] hundur [fle] hond [fra] chien [fri] hûn [deu] Hund [isl] hundur [ita] cane [kas] hoon [lad] cian [lit] šuõ [por] cão [nob] hund [sar] cane [sar] cane [swe] hund [wal] tchin [hit] kuu̯an- / kun- [xto] ku [txb] ku [grc] kýōn [lat] canis [prg] sunis [lav] suns [gae] cù [lux] Hond [san] śvā́ [fri] cjan [ave] span [sga] cú [xcl] šown [xlu] suwani- [fas] sag [gau] cuno- [old] hunder [pal] suṇa [mid] qui, quy [gre] ku-na-* [kho] śve [wak] šač [gre] kynárion [mid] sag [par] ispag [lat] suņs [ron] câine [nea] cane [old] chien [ang] chen [fra] shin [old] can [bre] ķi [bre] ki [cym] ci [mid] ci [kum] saġ [deu] Hung [tat] asbe [bak] sag [del] sæg [lar] sag [old] can [meg] cắni [old] ca [pas] spe [raj] esbạ [dal] kuọṅ [goh] hunt [mid] hunt [ang] hund [old] hund [mid] hont [old] hundr [got] hunds [mid] ky [lat] kei [gaw] ṣunaa [pas] šiing [nor] hund [kal] ćũ [kur] saw [mil] can",*k̑u̯ón-,,84,21
"[hye] jow [bul] âjce [bel] âjka [cat] ou [ces] vejce [dan] æg [nld] ei [far] egg [fle] ei [fra] oeuf [deu] Ei [ell] aygó [isl] egg [gae] ubh [ita] uovo [lad] uef [sor] jajo [sor] jejo [mac] ǰaǰce [pol] jajko [por] ovo [nob] egg [rus] âjco [sar] ou [sar] óu [hbs] jaje [slo] vajce [slo] jajce [spa] huevo [swe] ägg [ukr] âjce [wal] oû [lat] ōuum [chu] aice [lux] Ee [grc] ō̧ón [gae] ugh [fri] ûf [fri] aai [sga] og [xcl] jow [kur] hēk [aln] vo [oss] ajk [oss] ajkɜ [sqi] ve(zë) [ave] aēm [gae] ooh [elf] egg [old] äg [mid] uy, üi, vy, vuy [kho] āha [gre] ō̧ón [pol] joji [kas] jôjkò [mid] xāyag [gre] afkón [gre] ōvó(n) [gre] ōv(g)ó [gre] aggouó [ron] ou [nea] uovo [old] uef [ang] oef [fra] oua [old] (h)uevo [bre] ui [bre] u (ui) [cym] wy [old] jajce, jejce, jaje, jajko [mid] wy [old] vajce [old] jaice [kum] xāyg [rus] jajcé [mac] icè [mac] icè [slo] jajce [slo] jeize [deu] Ei [del] χɒg [lar] xow [kur] helka [bal] āmorg [tat] karxā [old] uou [alb] ve [old] ou [khw] yāk [pas] agai [kur] xā [haw] hēła [meg] ou̯ [dal] juv [goh] ei [mid] ei [ang] ǣġ [old] ei [mid] ei [old] egg [mid] oy [lat] oi [nor] egg [por] ovo [mil] öf [kur] hilka",*h₂ōu̯ió-,,106,28
[pas] starga,*h₂ster-,,1,29
[aln] pesë [hyw] hing [hye] hing [ben] pām̐c [bul] pet [bel] pâc′ [cat] cinc [ces] pět [dan] fem [nld] vijf [eng] five [far] fimm [fle] vyf [fra] cinq [fri] fiif [deu] fünf [ell] pénte [hin] pāñca [isl] fimm [gae] cúig [ita] cinque [kas] paantsh [lad] cinch [lit] penkì [sor] pěś [sor] pjeć [mac] pet [mar] pāca [nep] pāñca [fas] panǧ [pol] pięć [por] cinco [nob] fem [rus] pât' [sar] kimbe [sar] cinku [hbs] pet [sin] paha [slo] päť [slo] pet [spa] cinco [swe] fem [ukr] pât′ [wak] panʒ [wal] cinq' [xto] päñ [txb] piś [grc] pénte [lux] fënnef [mai] paṅc [urd] pānc [san] páñca [chu] pętĭ [lav] pieci [lat] quīnque [gae] còig [fri] cinc [ave] paṇca [sga] cóic [oss] fonʒ [oss] fonʒ [xcl] hing [osc] púmpe* [umb] pumpe-* [gau] pempe [sqi] pesë [elf] fem [old] fäm [pal] pañca [mag] pāṅc [mid] pemp [kho] paṃjsa [gre] pénte [pol] pąt [kas] piãc [mid] panz [kur] pēnž [par] panž [gre] pénte [gre] pénte [yag] panč [gre] pénte [gre] pénte [pal] páanǰ [bho] pāñci [lat] pīci [ron] cinci [nea] cinque [old] cinq [ang] cinc [old] cinco [bre] pemp [bre] pemp [cym] pump [gae] queig [fra] fin [old] pięć [mid] pump [old] pimp [kum] panj [old] pět [old] pętĭ [rus] p′jat′ [mac] p′èt′ [mac] p′èt′ [slo] pet [slo] pèt [bak] payn [bac] panzo [deu] füüf [tat] payn [sog] panč [maz] panj [del] pænd͡ʒ [lar] panj [kur] panj [bal] panǰ [old] cinq [meg] țínț [khw] panc [alb] pesë [old] cinc [kho] ponǰ [gaw] pants [pas] pinza [haw] panj [kur] panj [raj] payn [gaw] panǰ [dal] čeṅk [goh] fimf [sar] pindz [old] fīf [mid] fünf [ang] fīf [old] fîf [mid] vijf [old] fimm [got] fimf [pun] paⁿj [mid] pymp [lat] pemp [nor] fem [por] cinco [vâs] v′uč [pas] paanǰə [ass] pām̐s [mil] cinch [kam] p′uč [kât] p′uč [kât] p′uč [kal] pũč [saṇ] p′õć [kur] panj,*pénkʷe,,154,39
[bul] m″gla [ces] mlha [fle] mist [mac] magla [fas] meh [pol] mgła [hbs] magla [slo] hmla [slo] megla [chu] mĭgla [nld] mist [lav] migla [grc] omíchlē [oss] miǧ [oss] meǧæ [xcl] mēg [hyw] mēg [pal] mahikā [gre] omíchlē [pol] ḿåglă [kas] mgła [kur] mɨž [san] míh- [lat] mygla [par] nizmān [old] mgła [old] mhla [mac] mъ̀ŋgla [mac] mъ̀ŋgla [sin] mīduma [slo] megla [slo] magla [sog] mēγ [maz] meh [bak] meh [del] meh [bal] meh [kur] tamūmež [mid] mēγ [haw] tam u miž [ang] mist [wak] migh [kam] m′e [kât] m′e [kât] m′e [kur] mɨž,*h₃mei̯gʰ-,,46,42
"[aln] katër [hyw] čʿors [hye] čʿors [ben] cār [bul] četiri [bel] čatyry [cat] quatre [ces] čtyři [dan] fire [nld] vier [eng] four [far] fýra [fle] vier [fra] quatre [fri] fjouwer [deu] vier [ell] téssera [hin] cāra [isl] fjórir [gae] ceathar [ita] quattro [kas] tsɔɔr [lad] cater [lit] keturì [sor] styri [sor] štyri [mac] četiri [mar] cāra [nep] cāra [fas] čahār [pol] cztery [por] quatro [nob] fire [rus] četyre [sar] cuátro [hbs] četiri [sin] hatara [slo] štyri [slo] štiri [spa] cuatro [swe] fyra [ukr] čotiri [wak] cabʉr [wal] cwate [gae] ceithir [xto] śtwar [txb] śtwer [lat] quattuor [lux] véier [lav] četri [chu] četyre [san] catvā́raḥ [urd] cār [mai] cār [grc] téttares [fri] cuatri [sga] cethair [ave] caϑβar [xcl] čʿors [osc] pettiur [umb] petur- [gau] petuar [oss] cyppar [oss] cuppar [sqi] katër [bho] chāri [old] fiurir [elf] fyra [pal] catur [mag] cār [gre] qe-te-ro- [mid] peuar, peuoar [kho] tcahora [gre] téssares [old] petguar [pol] citĕr [kas] sztërë [mid] čahār [kur] čar [par] čafār [gre] tésseris [gre] tésseroi [yag] tufṓr [gre] tessároi [gre] téssera [lat] četri [nea] quatto [old] catre [ang] quatre [fra] katro [old] cuatro [ron] patru [bre] pwar, pider [bre] pewar [cym] pedwar [gae] kiare [pal] čúur [sar] báttoro [old] cztyrzy [mid] pedwar [old] petguar [kum] čār [old] čtyřie [old] četyre [rus] čotώrɪ [mac] čètir [mac] čètri [slo] štiri [slo] ṡhtiri [bac] sofaro [deu] vier [tat] čāhār [sog] čtfār [maz] čār [bak] čār [del] t͡ʃɒr [lar] čār [kur] čʷār [old] quatre [meg] pátru [alb] katër [khw] cfār [old] quatre [kho] čoor [gaw] tsur [pas] ssalor [haw] čwār [kur] čwār [raj] čạr [gaw] čōr [goh] fior [sar] cavur [old] fiuwer [mid] vier [ang] fēower [old] fiuuuar [mid] vier [old] fjórir [got] fidwor [pun] cār [mid] peswar [lat] padzhar, pager [nor] fire [por] quatro [vâs] čp′u [pas] čor [ass] sāri [kam] št′o [kât] štav′o [kât] štav′o [kal] čatâ [saṇ] ćât′âː [kur] čwār [mil] quàtar","*kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur-",,154,44
