input,output,meaning,pos,num_cognates
[sqi] nu [sqi] tani [sqi] ani [sqi] -ni [hit] 𒉡 [pal] 𒉡 [pal] 𒉡𒌑 [lit] nū [lit] nù [sga] nu [sga] no- [cel] nu [grc] νυ [san] नु [san] नू [ave] 𐬥𐬏 [san] -आनि [lat] nūper [lat] nudius [xto] nu [txb] no,*nu,"now, well (as an interjection), and",adv,30
[lit] da- [lav] da [grc] -δε [grc] ὅδε [grc] δόμονδε [grc] Ἀθήναζε [grc] δεῦρο [gmy] 𐀆 [gmy] 𐀓𐀈𐀛𐀊𐀆 [gmy] 𐀀𐀗𐀳𐀍𐀙𐀆 [lat] -de [lat] quamde [lat] quande [lat] inde [lat] unde,*de,"to, towards, Emphatic or contrastive particle, and, but",adv,15
[sqi] të [lat] tē,*te,enclitic accusative of *tú(h₂): thee,pron,2
[sqi] me,*me,"in the middle of, near, by, around, with",adv,1
[hit] -u [san] उ,*u,a distal deictic particle: there,particle,2
[sqi] nuk,*né,not,particle,1
[grc] τρι- [lat] tri- [san] त्रि-,*tri-,"three, threefold",prefix,3
[gle] áit [gla] àite,*pent-,"to pass, path",root,2
[lit] -ti [grc] τοι [san] ते,*toy,"enclitic genitive/dative of *tú(h₂) (“you (sg.), thou”)",pron,3
[grc] -ς [lat] -s,*-s,Derives masculine acrostatic root nouns with lengthened o-grade nominative singular from roots.,suffix,3
[lav] vàrît [lav] vir̂t [lit] vi̇̀rti [hit] 𒉿𒅈𒉡𒊻𒍣 [hit] urāni [xcl] վառեմ [lit] vi̇́rti [lit] vérdu,*wer-,to burn,root,10
[san] वृणोति [grc] ὁράω [grc] ὤρα [grc] οὖρος [grc] ἔφορος [grc] φρουρός [grc] τῑμωρός [san] वार [sqi] vërej [hit] 𒌑𒂊𒊑𒋾𒄑𒍣 [gle] fear [san] वर,*wer-,"to watch; to keep guard, cover, to notice, heed, be aware (of), be wary (of)",root,12
[fas] وروره [lav] vāvere [lit] vaiveri̇̀s [lit] voverė [lit] vaiverė [lit] voveri̇̀s [lit] vėveri̇̀s [prg] weware [lat] viverra,*wer-,squirrel or marten,root,23
[xcl] *դո- [grc] ὁ [grc] ἡ [grc] τό [grc] ὡς [grc] αὐτός [grc] ὅδε [grc] ὁδί [grc] οὗτος [grc] τότε [grc] τοτέ [grc] τηνίκα [grc] τῆμος [lat] sī [lat] sic [lat] tum [lat] tam [lat] iste [lat] ita [lat] ut,*só,"this, that",pron,27
[lit] -is [prg] -is [lat] -is [grc] -ις [san] -इ [ave] -𐬌,*-is,"Forms nouns from verbs., Forms nouns from thematic adjectives.",suffix,6
[grc] -ος [grc] -ειν [lav] -a [lav] -s [lit] -a [lit] -as [lat] -us [lat] -ere [lat] -erī,*-os,Creates action nouns or result nouns from verbs.,suffix,9
[sqi] ai [sqi] ajo [lit] jis [lat] is [lat] ea [lat] id,*ís,"this, he (used as the 3rd person pronoun)",pron,6
[sqi] atë [hit] 𒀜𒋫𒀸 [sga] aite [grc] ἄττα [lat] atta,*átta,father,noun,5
[xcl] որո- [lit] *pra- [grc] προ- [lat] pro-,*pro-,"toward, forward",prefix,4
[grc] -σα [lat] -sī,*-st,Forms perfective verbs from roots.,suffix,2
[hit] 𒁉𒂊𒊏𒀭 [hit] 𒁉𒊏𒀭 [grc] περάω [san] पर॑ [ave] 𐬞𐬀𐬭𐬀 [fas] فرفر [grc] πέρπερος [grc] πόρσω [grc] πόρρω [lat] porrō [lat] por- [grc] πρέσβυς [lat] prīvus [cel] ris [gle] roimh [gla] ro [lat] prīscus [lat] prīmus [lat] prīstinus [sga] ri [grc] πρίν [grc] πρείν [lat] prior [sqi] para [xcl] առ [ang] fyrst [deu] First [lat] postis [grc] πρυμνός [xcl] հեռ- [xcl] հեռի,*per-,"before, in front, first",root,34
[grc] πείρω [san] पा॒रय॑ति [san] पिप॑र्ति [grc] πρᾱ́σσω [grc] πεῖρα [grc] πορθμός [grc] πορεύω [grc] πορίζω [san] पा॒र [txb] pere [sqi] prura [sqi] prish [lit] paramà,*per-,"to go through, to carry forth, fare, to try, dare, risk",root,13
[lav] pèrt [lit] per̃ti [xcl] եհար [xcl] ուռն,*per-,to beat,root,4
[lat] struō [lat] industrius,*strew-,"to spread, strew",root,2
[xto] āp [txb] āp [hit] 𒄩𒉺𒀸 [xlu] 𒄩𒀀𒉿 [xlu] 𒄩𒀀𒉿𒅔𒉌 [lyc] 𐊜𐊂𐊀 [lyc] 𐊜𐊂𐊀𐊆 [pal] 𒄩𒀀𒀊𒈾𒀸 [sqi] amë [lat] amnis [xcl] հաւառի [lav] upe [lit] ùpė [prg] ape [prg] apus [chu] вапа,*h₂ep-,"water, body of water",root,16
[hit] 𒄩𒀊𒍣 [grc] ἅμμα [hit] 𒄩𒀊𒁉𒌍𒊬 [xlu] 𒄩𒀊𒁉𒅖𒊭 [hye] ափ [grc] ἄψος [grc] ἅψος [san] अप्सस् [xto] āpsā [grc] ἄ-απτος [lat] aptus [hye] հափափել [ave] 𐬁𐬟𐬆𐬥𐬙𐬈 [lat] apex,*h₂ep-,"to join, attach, fasten, fit",root,21
[lat] aqua,*h₂ékʷeh₂,water,noun,1
[lat] strāgēs [lat] strāgulus [san] अस्तरीः [grc] στρωμνή [grc] στρῶμα [san] स्तरीमन् [ave] 𐬯𐬙𐬆𐬭𐬆𐬨𐬀 [lat] strāmen [lat] torus [lat] storea [sqi] shtroj [sqi] shtrij [grc] στέρνον [grc] στορέννῡμι [grc] στρώννῡμι [grc] στόρνῡμι [lat] stirps [san] स्तॄ,*sterh₃-,"to spread, extend, stretch out",root,18
[lit] stógas [grc] στήλη [san] स्थल [lit] stuomuõ [lav] stāmen [lit] stúomas [grc] στώμιξ [sqi] stër- [san] स्थिर [pus] ستر [xto] ṣtār [lit] stóras [lat] status [grc] στέᾱρ [grc] στεῖᾰρ [grc] στῆρ [sqi] shtyllë [prg] postātwei [prg] postānimai [bre] sevel [cym] sefyll [grc] στάδιος [grc] στάδιον [fas] ایستادن [xto] ṣtäm- [txb] stäm- [grc] σταθμός [lav] stāds [lav] stāvēt [lit] stovėti [xcl] ստուար [grc] σταυρός [lat] īnstaurō [lat] restaurō [grc] στοᾱ́ [grc] στοιᾱ́ [grc] στωῐ̈ᾱ́ [grc] στοιή [grc] στῳᾱ́ [lit] stovà [san] स्थावर [fas] ستاوند [san] स्था,*steh₂-,to stand (up),root,52
[ave] 𐬛𐬁𐬚𐬭𐬍 [ell] θεσμός [ell] θετός [lat] -ditus [lat] suēscō [grc] ἔθω [san] स्वधा [lat] soleō [lat] -fex [grc] θήκη [grc] θεμείλια [grc] θεμέλιος [lat] famulus [lat] famelus [lat] familia [grc] θής [lat] (sacer)dōs [xcl] դնեմ [grc] θέμα [grc] θέμις [grc] Θέμις [grc] Θησεύς,*dʰeh₁-,"to do, to put, place",root,24
[pal] iska [txb] skente [grc] ἐσθλός,*h₁es-,to be,root,3
[hit] 𒄷𒅖𒍣 [grc] ἄεσα [san] अवात्सीत् [san] उवास [grc] ἰαύω [txb] wäs- [san] वस्ति [sqi] vathë [hit] 𒄷𒍑 [xcl] ագանիմ [xcl] գոյ [xcl] գոմ [lat] Vesta [ell] εστία [grc] Ἑστῐ́ᾱ [san] वस्,*h₂wes-,"to dwell, live, reside, to stay, spend the night",root,21
[san] भावयति [ave] 𐬠𐬀𐬎𐬎𐬀𐬌𐬙𐬌 [fas] بودن [lit] bùvintis [grc] πεφύασι [san] बभूव [ave] 𐬠𐬎𐬎𐬁𐬎𐬎𐬀 [ave] 𐬠𐬁𐬠𐬎𐬎𐬀𐬭𐬆 [sqi] botë [sqi] fis [san] भूति [grc] φυσικός [grc] φυτικός [lit] bū́tu [prg] būton [prg] boūton [grc] φῦμᾰ [san] भूमन् [grc] φυή [lit] bùtas [bre] bod [cym] bod [sga] both [grc] φῠτός [grc] φῠτόν [grc] φῦλον [grc] φῡλή [grc] φῠ́τλᾱ [grc] φῠ́τλη [grc] φῠ́τλον [lit] būklas [lit] bū́kla [san] प्रभु [lat] probus [lav] atsvabinât [lav] svabads [lat] Samnium [lat] Sabīnī [lat] Sabellī [lat] Semnōnes [sqi] bimë [sqi] bëhem [xcl] բոյս [xcl] բոյլ [xcl] բոյն [xcl] բլիթ [xcl] բոյթ [xcl] բայ [xcl] բաւիղ [lat] -bō [lat] -bam [lat] -bundus [lat] moribundus,*bʰuH-,"to be, become, grow, appear",root,57
[lit] gróti [sqi] hungëroj [sqi] nguroj [sqi] ngurónj [lit] gùrti [lat] grāc-ulus [xcl] կարկաչ [lit] gi̇̀rgždėti [non] kráka [non] krákr [san] गर्जति,*gerh₂-,"to cry hoarsely, crane",root,13
[lat] olō [lat] oleō [grc] ὄζω [grc] ὀδώδειν [sqi] amëz [sqi] âmë [sqi] erë [xcl] հոտ,*h₃ed-,"to smell, stink",root,8
[xcl] ատեամ [xcl] ատեմ [lat] ōdī [grc] ὠδυσάμην [grc] ὀδύσσομαι,*h₃ed-,to hate,root,5
[lav] ods [lit] úodas,*h₃ed-,to bite,root,2
[lit] naujèsnis [lat] novior,*new-,new,root,3
[sga] ad·noí [cym] adnau [cym] dinau [grc] νεύω [lat] *nuō [san] नवते,*new-,"to nod, assent to",root,6
[xcl] ն- [xcl] նի- [sga] ni-,*ní,down,adv,3
[grc] πέκω [grc] πεκτέω [lat] pectō [grc] πόκος [ang] feht [nld] vacht [lit] pešù [lit] pèšti [lit] pašýti,*peḱ-,"to pluck (wool, hair)",root,9
[grc] πέκος [lat] pecus,*peḱ-,"wealth, livestock",root,2
[eng] fain [goh] gifehan [isl] feginn [nor] fegen [got] *𐍆𐌰𐌷𐌾𐌰𐌽 [got] 𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌾𐌰𐌽 [lit] púošiu [non] fága [got] 𐍆𐌰𐌷𐌴𐌸𐍃,*peḱ-,"joyful, pretty",root,10
[grc] χυτός [san] हुत,*ǵʰutós,"libated, poured as part of a liquid offering",adj,2
[san] जरति [hye] ծեր [grc] γεραρός [ave] 𐬰𐬀𐬎𐬭𐬎𐬭𐬀 [grc] γραῦς [sqi] grua [lat] Graecus [lat] Grāius [grc] γῆρας [grc] γέρας [txb] śrāy [san] जरिमन् [fas] زرمان [fas] زرم [grc] γήραμα [ave] 𐬰𐬀𐬎𐬭𐬎𐬎𐬁 [pus] زړوالۍ [ave] 𐬰𐬀𐬭𐬆𐬙𐬀 [fas] زال [fas] زر [pus] زړه [pus] زوړ [pus] زاړه [pus] زړښت [san] जरा [san] जरस् [san] जर [san] जरायु [sqi] grue [sqi] gru [sqi] gruo [san] जॄ,*ǵerh₂-,"to grow old, to mature",root,41
[xcl] ասր [xcl] ասու,*péḱu,livestock,noun,2
[hye] էշ,*h₁éḱwos,"stallion, horse",noun,1
[san] अमत [ave] 𐬨𐬀𐬧𐬙𐬁 [grc] μνημοσύνη [lat] memor [grc] (θρασυ)μέμνων [san] मन्मन् [grc] Μέντωρ [san] मन्तृ [eng] minion [san] मन्तु [san] मन् [ave] 𐬨𐬀𐬥,*men-,"to think, mind, spiritual activity",root,12
[grc] μένω [san] ममन्धि [san] अममन् [san] ममन्यात् [grc] μίμνω [hit] 𒈪𒅎𒈠𒄿 [grc] ἔμεινα [lat] mānsī [hye] մնալ [lat] maneō [hye] մնաց [xto] mäskatär [txb] mäsketär [grc] μονή [grc] Μέμνων [mid] anmynedd [mid] amynedd [sga] ainmne,*men-,"to stay, remain",root,20
[lat] (ē)mineō [lat] (im)mineō [lat] (prō)mineō [lat] minae [ave] 𐬨𐬀𐬌𐬙𐬌 [lat] mōns [non] mœnir [non] mœna,*men-,"to stand out, to tower",root,8
[grc] μόνος [gle] mion [gla] mion [cym] difenwi [gla] meanbh [xcl] մանր [hit] 𒈠𒉌𒅔𒆪𒉿𒀭𒋼𒌍 [lit] meñkas [grc] μανός [san] मनाक् [xto] mank [txb] menki,*men-,"small, isolated",root,12
